,audio_directory,speaker,gender,length,Dict_n
0,sitec/Dict01/clncut/female/fcn3lms00s110/set110070_clncut.wav,fcn3lms00s110,female,47872,dict01
1,sitec/Dict01/clncut/female/fcn3lms00s110/set110016_clncut.wav,fcn3lms00s110,female,50816,dict01
2,sitec/Dict01/clncut/female/fcn3lms00s110/set110097_clncut.wav,fcn3lms00s110,female,61568,dict01
3,sitec/Dict01/clncut/female/fcn3lms00s110/set110074_clncut.wav,fcn3lms00s110,female,97280,dict01
4,sitec/Dict01/clncut/female/fcn3lms00s110/set110084_clncut.wav,fcn3lms00s110,female,47360,dict01
5,sitec/Dict01/clncut/female/fcn3lms00s110/set110102_clncut.wav,fcn3lms00s110,female,49280,dict01
6,sitec/Dict01/clncut/female/fcn3lms00s110/set110045_clncut.wav,fcn3lms00s110,female,43392,dict01
7,sitec/Dict01/clncut/female/fcn3lms00s110/set110060_clncut.wav,fcn3lms00s110,female,102016,dict01
8,sitec/Dict01/clncut/female/fcn3lms00s110/set110017_clncut.wav,fcn3lms00s110,female,41728,dict01
9,sitec/Dict01/clncut/female/fcn3lms00s110/set110020_clncut.wav,fcn3lms00s110,female,48896,dict01
10,sitec/Dict01/clncut/female/fcn3lms00s110/set110092_clncut.wav,fcn3lms00s110,female,48896,dict01
11,sitec/Dict01/clncut/female/fcn3lms00s110/set110096_clncut.wav,fcn3lms00s110,female,43392,dict01
12,sitec/Dict01/clncut/female/fcn3lms00s110/set110022_clncut.wav,fcn3lms00s110,female,51200,dict01
13,sitec/Dict01/clncut/female/fcn3lms00s110/set110054_clncut.wav,fcn3lms00s110,female,60160,dict01
14,sitec/Dict01/clncut/female/fcn3lms00s110/set110002_clncut.wav,fcn3lms00s110,female,53120,dict01
15,sitec/Dict01/clncut/female/fcn3lms00s110/set110069_clncut.wav,fcn3lms00s110,female,73856,dict01
16,sitec/Dict01/clncut/female/fcn3lms00s110/set110010_clncut.wav,fcn3lms00s110,female,55808,dict01
17,sitec/Dict01/clncut/female/fcn3lms00s110/set110032_clncut.wav,fcn3lms00s110,female,54400,dict01
18,sitec/Dict01/clncut/female/fcn3lms00s110/set110089_clncut.wav,fcn3lms00s110,female,49536,dict01
19,sitec/Dict01/clncut/female/fcn3lms00s110/set110019_clncut.wav,fcn3lms00s110,female,58624,dict01
20,sitec/Dict01/clncut/female/fcn3lms00s110/set110027_clncut.wav,fcn3lms00s110,female,50304,dict01
21,sitec/Dict01/clncut/female/fcn3lms00s110/set110079_clncut.wav,fcn3lms00s110,female,62976,dict01
22,sitec/Dict01/clncut/female/fcn3lms00s110/set110047_clncut.wav,fcn3lms00s110,female,53760,dict01
23,sitec/Dict01/clncut/female/fcn3lms00s110/set110072_clncut.wav,fcn3lms00s110,female,44160,dict01
24,sitec/Dict01/clncut/female/fcn3lms00s110/set110007_clncut.wav,fcn3lms00s110,female,70528,dict01
25,sitec/Dict01/clncut/female/fcn3lms00s110/set110061_clncut.wav,fcn3lms00s110,female,50048,dict01
26,sitec/Dict01/clncut/female/fcn3lms00s110/set110048_clncut.wav,fcn3lms00s110,female,59648,dict01
27,sitec/Dict01/clncut/female/fcn3lms00s110/set110005_clncut.wav,fcn3lms00s110,female,52480,dict01
28,sitec/Dict01/clncut/female/fcn3lms00s110/set110071_clncut.wav,fcn3lms00s110,female,49792,dict01
29,sitec/Dict01/clncut/female/fcn3lms00s110/set110076_clncut.wav,fcn3lms00s110,female,49280,dict01
30,sitec/Dict01/clncut/female/fcn3lms00s110/set110098_clncut.wav,fcn3lms00s110,female,40320,dict01
31,sitec/Dict01/clncut/female/fcn3lms00s110/set110064_clncut.wav,fcn3lms00s110,female,65280,dict01
32,sitec/Dict01/clncut/female/fcn3lms00s110/set110014_clncut.wav,fcn3lms00s110,female,41472,dict01
33,sitec/Dict01/clncut/female/fcn3lms00s110/set110033_clncut.wav,fcn3lms00s110,female,85632,dict01
34,sitec/Dict01/clncut/female/fcn3lms00s110/set110055_clncut.wav,fcn3lms00s110,female,55552,dict01
35,sitec/Dict01/clncut/female/fcn3lms00s110/set110056_clncut.wav,fcn3lms00s110,female,56960,dict01
36,sitec/Dict01/clncut/female/fcn3lms00s110/set110042_clncut.wav,fcn3lms00s110,female,54272,dict01
37,sitec/Dict01/clncut/female/fcn3lms00s110/set110062_clncut.wav,fcn3lms00s110,female,49280,dict01
38,sitec/Dict01/clncut/female/fcn3lms00s110/set110038_clncut.wav,fcn3lms00s110,female,32256,dict01
39,sitec/Dict01/clncut/female/fcn3lms00s110/set110024_clncut.wav,fcn3lms00s110,female,43648,dict01
40,sitec/Dict01/clncut/female/fcn3lms00s110/set110058_clncut.wav,fcn3lms00s110,female,46336,dict01
41,sitec/Dict01/clncut/female/fcn3lms00s110/set110006_clncut.wav,fcn3lms00s110,female,49792,dict01
42,sitec/Dict01/clncut/female/fcn3lms00s110/set110050_clncut.wav,fcn3lms00s110,female,55040,dict01
43,sitec/Dict01/clncut/female/fcn3lms00s110/set110021_clncut.wav,fcn3lms00s110,female,43008,dict01
44,sitec/Dict01/clncut/female/fcn3lms00s110/set110078_clncut.wav,fcn3lms00s110,female,58624,dict01
45,sitec/Dict01/clncut/female/fcn3lms00s110/set110043_clncut.wav,fcn3lms00s110,female,50944,dict01
46,sitec/Dict01/clncut/female/fcn3lms00s110/set110082_clncut.wav,fcn3lms00s110,female,61056,dict01
47,sitec/Dict01/clncut/female/fcn3lms00s110/set110086_clncut.wav,fcn3lms00s110,female,57344,dict01
48,sitec/Dict01/clncut/female/fcn3lms00s110/set110065_clncut.wav,fcn3lms00s110,female,61440,dict01
49,sitec/Dict01/clncut/female/fcn3lms00s110/set110031_clncut.wav,fcn3lms00s110,female,62464,dict01
